APELLIDO;NOMBRE;CLUB;POSICION;VALOR
Trípodi; Emanuel;Quilmes;ARQ;3000000
Trombetta; Cristian;Tigre;DEF;2500000
Tula; Cristian;San Lorenzo;DEF;5100000
Tuzzio; Eduardo;Independiente;DEF;5000000
Valeri; Diego;Lanús;VOL;7000000
Valle; Jonathan;Newell's;DEF;300000
Vallejos; Nicolás;Huracán;DEF;800000
Vallés; Gabriel;Independiente;DEF;3000000
Vangioni; Leonel;Newell's;VOL;3800000
Varela; Gustavo;Quilmes;VOL;2800000
Vargas; Gonzalo;Argentinos;DEL;4400000
Vega; David;Olimpo;VOL;3200000
Vega; Mario Daniel;River;ARQ;3000000
Velasco; Maximiliano;Newell's;DEL;300000
Velázquez; Julián;Independiente;DEF;3900000
Velázquez; Leandro;Newell's;VOL;3000000
Velázquez; Maximiliano;Independiente;DEF;4000000
Velázquez; Pablo;San Lorenzo;DEL;4100000
Vélez; José;Independiente;DEF;2600000
Vélez; Leandro Nicolás;Huracán;VOL;400000
Vella; Cristian;All Boys;DEF;2400000
Vella; Luciano;Newell's;DEF;3700000
Vera; Renzo;Tigre;DEF;2000000
Verón; Juan Sebastián;Estudiantes;VOL;14000000
Viatri; Lucas;Boca;DEL;4800000
Vieyra; Juan;Newell's;VOL;300000
Vieytes; Marcelo;All Boys;VOL;1800000
Villafáñez; Lucas;Independiente;VOL;1500000
Villalba; Hernán;Newell's;VOL;900000
Villalva; Daniel;River;DEL;3000000
Villán; Leonardo;Huracán;DEF;1000000
Villanueva; Cristian;Olimpo;DEF;2000000
Villar; Diego;Godoy Cruz;VOL;3900000
Viola; Valentín;Racing;DEL;700000
Vizcarra; José;Gimnasia LP;DEL;3500000
Voboril; Germán;Godoy Cruz;DEF;2500000
Vouilloud; Germán;Tigre;ARQ;300000
Yacob; Claudio;Racing;VOL;4700000
Yeri; Nahuel;Banfield;DEF;700000
Zapata; Víctor;Vélez;VOL;5800000
Zaracho; Edgar;Colón;VOL;2500000
Zárate; Ariel;All Boys;VOL;2800000
Zárate; Rolando;Huracán;DEL;4000000
Zelaya; Emilio;Banfield;DEL;4500000
Zuculini; Bruno;Racing;VOL;1700000
Zuculini; Franco;Racing;VOL;4200000
